구분,단체이름,프로그램명,운영장소명,지원사업명,프로그램분야,프로그램대상,운영기간시작,운영기간종료,운영주소,시도,시군구,lat,lon
257,모모살롱,예술놀이터,1층 강화군정신건강복지센터,"2024 문화예술치 프로그램 지원사업 「마음치유, 봄","미술,문학,연극/뮤지컬","중장년,노년",2024-05-07,2024-10-08,인천광역시 강화군 강화읍 충렬사로 26-1,인천,강화군,37.7372942002653,126.484858623273
258,모모살롱,예술로 하모니,성북구보건소 5층 치매안심센터,"2025 문화로 치유 지원사업  「마음치유, 봄처럼」","미술,문학,연극/뮤지컬,무용",노년,2025-05-23,2025-10-31,서울특별시 성북구 화랑로 63,서울,성북구,37.6027616666352,127.039514009476
259,모모살롱,별별놀이터,미사보건센터,"2024 문화예술치유 프로그램 지원사업 「마음치유, 봄","미술,연극/뮤지컬",노년,2024-05-08,2024-10-02,경기도 하남시 미사강변대로 200,경기,하남시,37.5676390848,127.185540974827
260,모모살롱,예술路 꿈꾸다,하남미사보건센터 2층,"2024 문화예술치 프로그램 지원사업 「마음치유, 봄","음악,미술,문학,연극/뮤지컬","중장년,노년",2024-05-09,2024-10-31,경기도 하남시 미사강변대로 200,경기,하남시,37.5676390848,127.185540974827
261,모모살롱,민들레 놀이터,복지동 2층 치매안심센터,"2025 문화로 치유 지원사업  「마음치유, 봄처럼」","음악,문학,연극/뮤지컬",노년,2025-05-22,2025-10-23,경기도 남양주시 진접읍 금강로 1509-26,경기,남양주시,37.726328364043,127.189862958446
262,모모살롱,별빛 무지개,남양주시정신건강복지센터,"2024 문화예술치 프로그램 지원사업 「마음치유, 봄","공예,미술,문학,연극/뮤지컬",청년,2024-05-10,2024-09-20,경기도 남양주시 경춘로 522,경기,남양주시,37.6102430253217,127.171961223238
263,모모살롱,예술花방,1층 남양주시치매안심센터,"2024 문화예술치유 프로그램 지원사업 「마음치유, 봄","미술,연극/뮤지컬",노년,2024-05-10,2024-10-04,경기도 남양주시 와부읍 덕소로71번길 5,경기,남양주시,37.5879483493095,127.211129587976
264,모모살롱,별난 예술방,하남미사보건센터 4층,"2025 문화로 치유 지원사업  「마음치유, 봄처럼」","미술,문학,연극/뮤지컬",노년,2025-05-14,2025-10-15,경기도 하남시 미사강변대로 200,경기,하남시,37.5676390848,127.185540974827
265,문예두럭,환상의 상상놀이여행,황간청소년문화의집,2024 충북 생애주기형 문화예술교육지원사업,"공예,미술,기타",아동,2024-04-27,2024-11-30,충청북도 영동군 황간면 황간동로 87,충북,영동군,36.2324505207693,127.908660649668
266,문화밀당,3D입체퍼즐 풍남문 만들기,"1층, 문화밀당",문화밀당,"디자인,공예,미술,전통,융복합,기타","아동,청소년,청년,중장년,노년",2024-04-17,2024-12-31,전북특별자치도 전주시 완산구 거마산로 7,전북특별자치도,전주시 완산구,35.7969790395481,127.122198492067
267,문화통장,"지금 부르는 이 노래, 내 이야기입니다![1기수]","2층, LH자은3주공 작은도서관",2025 꿈다락 문화예술학교,음악,노년,2025-06-23,2025-09-01,경상남도 창원시 진해구 진해대로975번길 23,경남,창원시 진해구,35.1440333583593,128.70959987084
268,문화통장,"새로고침, 당신의 추억을 고쳐드립니다!(1기수)","2층, 하늘채작은도서관",2025 꿈다락 문화예술학교,공예,노년,2025-06-27,2025-09-05,경상남도 창원시 마산회원구 내서읍 호원로 359,경남,창원시 마산회원구,35.26531922377,128.524789896796
269,물드리네,<감나무 이야기>,물드리네,20+문화예술교육,"디자인,공예,전통,기타",중장년,2025-04-23,2025-06-25,제주특별자치도 제주시 한경면 낙산로 4-28,제주특별자치도,제주시,33.3225241920971,126.22690970261
