구분,단체이름,프로그램명,운영장소명,지원사업명,프로그램분야,프로그램대상,운영기간시작,운영기간종료,운영주소,시도,시군구,lat,lon
781,창의문화예술 흥.신.소,농씨네무비,비상리 마을회관,2024 예술로 어울림,영화,아동,2024-07-20,2024-10-26,충청북도 청주시 청원구 내수읍 비상길 34,충북,청주시 청원구,36.7081721635095,127.582086760069
782,창의문화예술 흥.신.소,맞춤,비상리 마을회관,2024 예술로 어울림,무용,"중장년,노년",2024-07-17,2024-11-06,충청북도 청주시 청원구 내수읍 비상길 34,충북,청주시 청원구,36.7081721635095,127.582086760069
783,창의문화예술 흥.신.소,풍물로 어울림,비중리 마을회관,2024 예술로 어울림,국악,"중장년,노년",2024-07-15,2024-10-28,충청북도 청주시 청원구 내수읍 비중길 12,충북,청주시 청원구,36.7114571478564,127.580523034537
784,창의문화예술 흥.신.소,마을 음악대,형동리 마을회관,2024 예술로 어울림,음악,"중장년,노년",2024-07-18,2024-09-26,충청북도 청주시 청원구 내수읍 형동1길 50,충북,청주시 청원구,36.7016501293809,127.569556983764
785,창의문화예술 흥.신.소,오감만족 푸드아트,비중리 마을회관,2024 예술로 어울림,"융복합,기타",아동,2024-07-20,2024-10-12,충청북도 청주시 청원구 내수읍 비중길 12,충북,청주시 청원구,36.7114571478564,127.580523034537
786,창의문화예술 흥.신.소,소리채집 하모니,초정리 마을회관,2024 예술로 어울림,음악,"중장년,노년",2024-07-20,2024-08-17,충청북도 청주시 청원구 내수읍 초정2길 47,충북,청주시 청원구,36.7221358042333,127.60400585544
787,창의문화예술 흥.신.소,우리마을 창작민요 만들기,비중리 마을회관,2024 예술로 어울림,국악,"중장년,노년",2024-07-17,2024-09-25,충청북도 청주시 청원구 내수읍 비중길 12,충북,청주시 청원구,36.7114571478564,127.580523034537
788,문화예술공간 자리,온라인과 오프라인을 넘나드는 문화예술교육,문화예술공간 자리,,"음악,미술,디자인",노년,2023-04-01,2023-11-30,충청북도 진천군 진천읍 중앙서1길 6-4 1층,충북,진천군,36.8571343757269,127.441628778748
789,문화예술창고 마주,"생애전환 문화예술학교 내 생의 주인공은 나야, 나!",,꿈다락예술문화학교,연극/뮤지컬,중장년,,,당진시 당진중앙1로 237 B1 문화예술창작소 내숭,충남,당진시,36.8984333821938,126.635776104125
790,문화예술케어 쓰담,안녕? 소중한 사람_ 소소한 일상 새로운 발견,광명 아우름,,"연극,영화,미술","유아,아동,청소년,청년,중장년,노년,장애인",2022-09-01,2022-09-30,경기도 광명시 오리로619번길 11,경기,광명시,37.4562875264476,126.878109428372
791,산청청년모임 있다,2024 예술로 어울림@산청,산청 지속협 사무실2층,2024 예술로 어울림,"음악,디자인,공예,미술,문학,무용,건축,융복합,기타","유아,아동,청소년,청년,중장년,노년,장애인",2024-07-07,2024-11-30,경상남도 산청군 신안면 원지로 6-5,경남,산청군,35.3028494235362,127.973230906958
792,청년협동조합 오롯,청년주파수 2030Mhz,2층,,융복합,청년,2025-05-15,2025-11-13,충청북도 괴산군 괴산읍 읍내로2길 45,충북,괴산군,36.8084836893974,127.79230884441
793,전문예술단체 극단 새벽,어별향 (어둠 속의 별빛의 향연),402호,2024 문화예술교육 지원사업,"연극/뮤지컬,무용,융복합",청소년,2024-06-01,2024-10-12,대전광역시 서구 신갈마로141번길 6,대전,서구,36.3463616756439,127.368044015525
794,전문예술단체 극단 새벽,내 인생의 차차차!(차차 차리고 차오르다),402호,2024 생애주기별 문화예술교육 지원사업,연극/뮤지컬,중장년,2024-05-01,2024-11-03,대전광역시 서구 신갈마로141번길 6,대전,서구,36.3463616756439,127.368044015525
795,㈜아트플랫폼 한터울,환경창극 제비가 그랬어,4층 아트플랫폼 한터울,꿈다락문화예술학교,"국악,음악,미술,연극/뮤지컬,전통","아동,청소년",2024-07-08,2024-09-09,경상북도 포항시 남구 중앙로 116,경북,포항시 남구,36.0234219449089,129.368741822019
796,문화예술공간 아우라,"예술쉼표 몸과 마음이 지친 직장인을 위한 식물 공간, 그린스페이스",,꿈다락예술문화학교,공예,중장년,,,완주군 구이면 구이로 1481 구이생활문화센터,전북특별자치도,완주군,35.7314090484335,127.119049565517
797,아트스페이스 소을부리,주말예술캠퍼스 꼬마마녀 앤과 바람의 아이들,,꿈다락예술문화학교,기타,아동,,,장성군 동화면 가정길 20-9 가정마을,전남,장성군,35.2794628334024,126.740055749528
798,남서울대학교 산학협력단,소리로 기록하는 나의 일상 이야기: 나의 소리 일기,내 지식정보관 4층,2024 늘봄학교 문화예술교육 지원사업,"음악,미술,융복합,기타",아동,2024-03-12,2024-07-16,충청남도 천안시 서북구 성환읍 대학로 91,충남,천안시 서북구,36.9109137342107,127.143619452225
799,남서울대학교 산학협력단,우리들의 인형극 세상,내 지식정보관 4층,2024 늘봄학교 문화예술교육 지원사업,"융복합,기타",아동,2024-05-22,2024-07-24,충청남도 천안시 서북구 성환읍 대학로 91,충남,천안시 서북구,36.9109137342107,127.143619452225
800,남서울대학교 산학협력단,우리는 창작 역사 연극 배우들!,내 지식정보관 4층,2024 늘봄학교 문화예술교육 지원사업,"융복합,기타",아동,2024-03-11,2024-08-01,충청남도 천안시 서북구 성환읍 대학로 91,충남,천안시 서북구,36.9109137342107,127.143619452225
801,남서울대학교 산학협력단,책에서 튀어나온 동화 주인공,내 지식정보관 4층,2024 늘봄학교 문화예술교육 지원사업,"연극/뮤지컬,융복합,기타",아동,2024-03-13,2024-07-17,충청남도 천안시 서북구 성환읍 대학로 91,충남,천안시 서북구,36.9109137342107,127.143619452225
802,남서울대학교 산학협력단,생명 담은 마법! 흙의 변신,내 지식정보관 4층,2024 늘봄학교 문화예술교육 지원사업,"융복합,기타",아동,2024-03-15,2024-07-26,충청남도 천안시 서북구 성환읍 대학로 91,충남,천안시 서북구,36.9109137342107,127.143619452225
803,남서울대학교 산학협력단,우리와 함께 할 꽃들,내 지식정보관 4층,2024 늘봄학교 문화예술교육 지원사업,"융복합,기타",아동,2024-03-11,2024-07-22,충청남도 천안시 서북구 성환읍 대학로 91,충남,천안시 서북구,36.9109137342107,127.143619452225
804,남서울대학교 산학협력단,가족 봄 나들이,내 지식정보관 4층,2024 늘봄학교 문화예술교육 지원사업,"융복합,기타",아동,2024-03-11,2024-07-29,충청남도 천안시 서북구 성환읍 대학로 91,충남,천안시 서북구,36.9109137342107,127.143619452225
805,남서울대학교 산학협력단,색동 누에고치와 만나는 봄과 여름,내 지식정보관 4층,2024 늘봄학교 문화예술교육 지원사업,"융복합,기타",아동,2024-03-11,2024-07-22,충청남도 천안시 서북구 성환읍 대학로 91,충남,천안시 서북구,36.9109137342107,127.143619452225
806,남서울대학교 산학협력단,꿈틀꿈틀 동화나라 운동회,내 지식정보관 4층,2024 늘봄학교 문화예술교육 지원사업,"융복합,기타",아동,2024-03-05,2024-07-25,충청남도 천안시 서북구 성환읍 대학로 91,충남,천안시 서북구,36.9109137342107,127.143619452225
807,남서울대학교 산학협력단,함께 하는 동화책 폴리 아티스트,내 지식정보관 4층,2024 늘봄학교 문화예술교육 지원사업,"음악,융복합,기타",아동,2024-03-13,2024-07-17,충청남도 천안시 서북구 성환읍 대학로 91,충남,천안시 서북구,36.9109137342107,127.143619452225
808,남서울대학교 산학협력단,나는야 음원 낸 아티스트!,내 지식정보관 4층,2024 늘봄학교 문화예술교육 지원사업,"음악,미술,융복합,기타",아동,,,충청남도 천안시 서북구 성환읍 대학로 91,충남,천안시 서북구,36.9109137342107,127.143619452225
809,남서울대학교 산학협력단,아트(Art)가 하트(Heart)가 되다,내 지식정보관 4층,2024 늘봄학교 문화예술교육 지원사업,"음악,미술,융복합",아동,2024-03-07,2024-08-07,충청남도 천안시 서북구 성환읍 대학로 91,충남,천안시 서북구,36.9109137342107,127.143619452225
810,남서울대학교 산학협력단,미래를 그리는 꿈,내 지식정보관 4층,2024 늘봄학교 문화예술교육 지원사업,"융복합,기타",아동,2024-03-11,2024-07-15,충청남도 천안시 서북구 성환읍 대학로 91,충남,천안시 서북구,36.9109137342107,127.143619452225
811,남서울대학교 산학협력단,그림책과 미술로 키우는 문화감수성,내 지식정보관 4층,2024 늘봄학교 문화예술교육 지원사업,"융복합,기타",아동,2024-03-12,2024-07-26,충청남도 천안시 서북구 성환읍 대학로 91,충남,천안시 서북구,36.9109137342107,127.143619452225
812,남서울대학교 산학협력단,우리동네 꼬마 미술가,내 지식정보관 4층,2024 늘봄학교 문화예술교육 지원사업,"음악,미술,무용,융복합,기타",아동,2024-03-11,2024-08-07,충청남도 천안시 서북구 성환읍 대학로 91,충남,천안시 서북구,36.9109137342107,127.143619452225
813,남서울대학교 산학협력단,룰루랄라 감성 놀이터,내 지식정보관 4층,2024 늘봄학교 문화예술교육 지원사업,"음악,미술,융복합",아동,2024-03-11,2024-07-30,충청남도 천안시 서북구 성환읍 대학로 91,충남,천안시 서북구,36.9109137342107,127.143619452225
814,남서울대학교 산학협력단,컬러그림자로 만드는 오색빛깔 이야기,내 지식정보관 4층,2024 늘봄학교 문화예술교육 지원사업,"미술,융복합,기타",아동,2024-03-13,2024-07-18,충청남도 천안시 서북구 성환읍 대학로 91,충남,천안시 서북구,36.9109137342107,127.143619452225
815,문화예술교육 아트플레잉,"다시, 나를 그리다",전민복합문화센터,2025 생애주기별 문화예술교육 꿈다락문화예술학교,"음악,공예,미술","청년,중장년",2025-06-13,2025-11-07,대전광역시 유성구 문지로299번길 18,대전,유성구,36.3931040728676,127.406290674599
816,문화예술교육 아트플레잉,"아빠와 딸, 예술로 만드는 우리 이야기",갈마도서관,2025 생애주기별 문화예술교육 꿈다락문화예술학교,"음악,공예,미술",,2025-06-15,2025-08-17,대전광역시 서구 신갈마로127번길 138,대전,서구,36.3408898197291,127.365696564695
817,한국도자재단 경기도자미술관,2024 경기도자미술관 5월 특별 프로그램 <우리가족,경기도자미술관,5월 가정의 달 특별 프로그램,"공예,미술","유아,아동,청소년,청년,중장년,노년",2024-05-01,2024-05-31,경기도 이천시 경충대로2697번길 263,경기,이천시,37.27692876208,127.423702790779
818,한국도자재단 경기도자미술관,경기도자미술관 토락교실 특별 도자체험 패키지,경기도자미술관(이천),경기도자미술관 토락교실 특별 도자체험 패키지,"공예,미술,융복합",,2024-09-06,2024-10-20,경기도 이천시 경충대로2697번길 263,경기,이천시,37.27692876208,127.423702790779
819,한국도자재단 경기도자미술관,2023년 경기도자미술관 X토락교실 소장품예술감상교육 어린이예술탐험대,한국도자재단 경기도자미술관 토락교실,,"미술,공예,융복합",아동,2023-04-01,2023-11-26,경기도 이천시 경충대로2697번길 263 토락교실,경기,이천시,37.27692876208,127.423702790779
820,꿈꾸는씨어터(주),꿈꾸는 일상 씨어터 청년 슬일생 뮤지컬 커뮤니티,지하1층,2025 생애주기별 문화예술교육 지원사업,연극/뮤지컬,청년,2025-07-01,2025-11-18,대구광역시 남구 현충로 148,대구,남구,35.8460433439188,128.580400010668
821,꿈꾸는씨어터(주),2023 주제중심형 학교 문화교육지원사업 예술로탐구생활_3권역 운영기관,,,기타,청소년,2023-02-01,2023-12-31,대구광역시 남구 현충로 148 지하 1층,대구,남구,35.8460433439188,128.580400010668
822,꿈꾸는씨어터(주),꿈꾸는 일상 씨어터 - 시니어 앞산 빨래터 창작극 커뮤,지하1층,2025 생애주기별 문화예술교육 지원사업,"연극/뮤지컬,전통",중장년,2025-07-14,2025-11-17,대구광역시 남구 현충로 148,대구,남구,35.8460433439188,128.580400010668
823,꿈꾸는씨어터(주),리드미컬 일상 씨어터 - 시니어 앞산 빨래터 두드림 커,지하 1층,2025 생애주기별 문화예술교육 지원사업,"음악,기타",중장년,2025-07-14,2025-09-15,대구광역시 남구 현충로 148,대구,남구,35.8460433439188,128.580400010668
824,남동문화재단(소래역사관),[남동문화재단]  '소래 어벤져스 갯벌을 지켜라',소래역사관,2025 문화예술교육사 현장역량강화사업,연극/뮤지컬,아동,2025-08-23,2025-09-27,인천광역시 남동구 아암대로 1605,인천,남동구,37.3981643725555,126.737599911272
825,남동문화재단(소래역사관),[남동문화재단] '소래! 만지고 들을래?',2층 교육실,2025 문화예술교육사 현장역량강화사업,"음악,미술",유아,2025-10-18,2025-11-01,인천광역시 남동구 아암대로 1605,인천,남동구,37.3981643725555,126.737599911272
826,남동문화재단(소래역사관),"패밀리 하모니, 아카펠라로 놀자! 1기",소래역사관,2025 생활밀착형 문화예술교육 지원사업 가가호호,음악,"중장년,노년",2025-09-09,2025-09-26,인천광역시 남동구 아암대로 1605,인천,남동구,37.3981643725555,126.737599911272
827,남동문화재단(소래역사관),[남동문화재단] 소래역사관 '우리들의 에피소드',소래역사관,2025 문화예술교육사 현장역량강화사업,"미술,문학",중장년,2025-07-29,2025-08-20,인천광역시 남동구 아암대로 1605,인천,남동구,37.3981643725555,126.737599911272
828,금천문화재단(금나래아트홀),실(LINE)×천(FABRIC)=력(ACTING) 프로젝트 천으로 엮다,,꿈다락예술문화학교,"디자인,미술",중장년,,,금천구 은행나무로 44 만천명월예술인가,서울,금천구,37.4506976782696,126.907445405639
829,금천문화재단(금나래아트홀),실(LINE)×천(FABRIC)=력(ACTING) 프로젝트 천으로 알다,,꿈다락예술문화학교,"디자인,미술","아동,청소년",,,금천구 은행나무로 44 만천명월예술인가,서울,금천구,37.4506976782696,126.907445405639
830,금천문화재단(금나래아트홀),"실(LINE)×천(FABRIC)=력(ACTING) 프로젝트 선, 율, 그리고 화음으로 표현하기",,꿈다락예술문화학교,음악,"아동,청소년",,,금천구 은행나무로 44 만천명월예술인가,서울,금천구,37.4506976782696,126.907445405639
831,금천문화재단(금나래아트홀),실(LINE)×천(FABRIC)=력(ACTING) 프로젝트 천으로 놀다,,꿈다락예술문화학교,"음악,연극/뮤지컬","아동,청소년,청년,중장년,노년",,,금천구 은행나무로 44 만천명월예술인가,서울,금천구,37.4506976782696,126.907445405639
832,남동문화재단(남동생활문화센터),얼씨구 <청춘학교>,2층,꿈다락 문화예술학교,국악,노년,2024-10-07,2024-11-15,인천광역시 남동구 독점로30번길 15,인천,남동구,37.4524480563226,126.711894970324
833,도봉문화재단[학마을도서관],움직이는 예술정거장 브라보 마이 라이프,,꿈다락예술문화학교,"디자인,미술",노년,,,도봉구 시루봉로 128 학마을도서관 3층 창작공유공간 다목적실,서울,도봉구,37.6621597877574,127.027831490119
834,도봉문화재단[학마을도서관],도서관 연계 프로그램 일상의 작은 관찰,,꿈다락예술문화학교,"미술,문학",아동,,,도봉구 시루봉로 128 학마을도서관,서울,도봉구,37.6621597877574,127.027831490119
835,㈜엠아트플라이,문화예술치유,시청각실,"마음치유, 봄처럼","연극/뮤지컬,융복합",청소년,2024-04-01,2024-04-30,대전광역시 서구 월평동로 21,대전,서구,36.3565975181193,127.367215939564
836,㈜엠아트플라이,문화예술치유,시청각실,"마음치유, 봄처럼","연극/뮤지컬,융복합",청소년,2024-04-01,2024-11-30,대전광역시 유성구 상대로 33,대전,유성구,36.3458936390846,127.334749628998
837,㈜엠아트플라이,문화예술치유,시청각실,"마음치유, 봄처럼","연극/뮤지컬,융복합",청소년,2024-04-01,2024-11-30,대전광역시 서구 갈마역로25번길 70,대전,서구,36.3534909466778,127.371978635343
838,㈜엠아트플라이,뮤지컬 퍼포먼스 이상한 나라의 우리's,3층,생애주기별 문화예술교육사업,"미술,연극/뮤지컬,융복합","청년,중장년,노년,장애인",2025-05-12,2025-10-13,대전광역시 대덕구 비래서로9번길 86,대전,대덕구,36.3585414943021,127.448321083547
839,㈜엠아트플라이,인공지능과 예술의 융합을 통한 치유 활동,한국빌딩 3층,"2025 문화로 치유 지원사업 「마음치유, 봄처럼」","음악,미술,연극/뮤지컬,무용","청소년,노년",2025-05-01,2025-11-14,대전광역시 대덕구 비래서로9번길 86,대전,대덕구,36.3585414943021,127.448321083547
840,㈜엠아트플라이,생애주기별문화예술교육,한국빌딩 엠아트플라이 예술룸,AI Chat GPT와 함께하는 로컬창작뮤지컬만들기,"연극/뮤지컬,융복합",,2024-04-01,2024-11-30,대전광역시 대덕구 비래서로9번길 86,대전,대덕구,36.3585414943021,127.448321083547
841,군산시민예술촌,2023 꿈의댄스팀 군산,군산시민예술촌,,무용,아동,2023-05-01,2023-12-31,전라북도 군산시 중정길 17 군산시민예술촌,전북특별자치도,군산시,35.9848033656202,126.713558496354
842,극단삼달리의별,뇌를 춤추게 하라,101호,첫문화예술교육,"국악,연극/뮤지컬,융복합",중장년,2024-08-06,2024-08-14,제주특별자치도 서귀포시 성산읍 삼달로 120,제주특별자치도,서귀포시,33.3721901240251,126.856743537249
843,너의예술이들려,(융합기술) AI를 삼킨 전래동화,다목적실,<우리동네키움센터 PBL 프로젝트>,"미술,문학,연극/뮤지컬","아동,청소년",2024-01-05,2024-12-31,서울특별시 관악구 남부순환로 1759,서울,관악구,37.4823074567487,126.94566714915
844,너의예술이들려,(오감/자연교육) 오! 자연운동회 시작인감!,낙성대공원,인천꿈다락토요문화학교,"미술,연극/뮤지컬,융복합","아동,청소년",2024-01-05,2024-12-31,서울특별시 관악구 낙성대로 40,서울,관악구,37.4751227759367,126.957455659657
845,너의예술이들려,(지역교육) 우리동네 보물찾기!,3층 연습실,어린이 통합예술교육 <예술과 동네 한 바퀴>,융복합,"유아,아동,청소년",2023-01-01,2023-02-28,서울특별시 관악구 남부순환로 1759,서울,관악구,37.4823074567487,126.94566714915
846,너의예술이들려,(창작연극/뮤지컬) 뮤지컬 레시피,3층 연습실,KT&G <아름드리 예술교실>,"미술,연극/뮤지컬",,2024-01-05,2024-12-31,서울특별시 관악구 남부순환로 1759,서울,관악구,37.4823074567487,126.94566714915
847,너의예술이들려,(생태교육) 판타스틱+플라스틱 행성,대강당,<주제중심 예술로 탐구생활> / 판타스틱+플라스틱 행성,"음악,미술,연극/뮤지컬,융복합","아동,청소년",2024-01-05,2024-12-31,서울특별시 관악구 남부순환로 1759,서울,관악구,37.4823074567487,126.94566714915
848,대전서구문화원,"대전 영상에 담다, 스토리로 풀다",5층 강의실,생애주기별 문화예술교육 지원사업,"사진,문학,미디어",아동,2024-04-20,2024-11-30,대전광역시 서구 계룡로553번길 38,대전,서구,36.3446227584109,127.385566564485
849,대전서구문화원,50+ 예술친구찾기,대전서구문화원,2024 생애주기별 문화예술교육 「꿈다락문화예술학교」,미술,중장년,2024-06-24,2024-11-28,대전광역시 서구 계룡로553번길 38,대전,서구,36.3446227584109,127.385566564485
850,대전중구문화원,"Meyou Zi 컬, 우리이야기로 만드는 MZ세대 뮤지",1층 사무국,생애주기별 문화예술교육지원사업,"음악,연극/뮤지컬",청년,2024-05-22,2024-10-30,대전광역시 중구 대흥로 109,대전,중구,36.3235402757856,127.424394854796
851,드림아트연구소,"나와 너, 예술꽃피우다",어번케어센터 602호,2024 충북형 생애주기 문화예술교육 지원사업,"국악,공예,사진,무용,융복합",중장년,2024-04-26,2024-11-09,충청북도 제천시 의림대로1길 2,충북,제천시,37.1289225151728,128.205259533617
852,바람불어좋은날,너영나영 ???디 모여 우리 ??실서 추억 염색하자 (,바람불어좋은날 천연염색 공방,어디서나 문화예술교육,"공예,미술,기타",중장년,2024-09-19,2024-09-20,제주특별자치도 서귀포시 안덕면 사계로 68,제주특별자치도,서귀포시,33.2371434635878,126.297875767526
853,발광아트컴퍼니,신세대 할머니되기 프로젝트 e세상@ 할 말 쩜. 있소,,꿈다락예술문화학교,"사진,연극/뮤지컬,미디어",노년,,,강서구 강서로5길 50 강서구립 곰달래어르신복지센터,서울,강서구,37.5290599728442,126.848898178399
854,서울예술대학교,춤을 춤~춤!춤!,서울예술대학교,2024 생애주기별 문화예술교육 지원사업,무용,아동,2024-07-06,2024-10-26,경기도 안산시 단원구 예술대학로 171,경기,안산시 단원구,37.3334134929912,126.836302333247
855,서울예술대학교,Playground ABC,코스모스,2025 꿈다락 문화예술학교,"국악,음악,디자인,공예,문학,연극/뮤지컬,무용,미디어,융복합",,2025-07-01,2025-11-01,경기도 안산시 단원구 예술1길 14,경기,안산시 단원구,37.3296126583771,126.83779547023
856,세리원아카이브,런웨이시즌유스,부산패션비즈센터,꿈다락문화예술학교,디자인,청소년,2024-07-22,2024-11-24,부산광역시 동구 망양로 978,부산,동구,35.1415233073337,129.056048034228
857,세리원아카이브,댕댕이시밀러룩아뜰리에,부산패션비즈센터,꿈다락문화예술학교,"디자인,공예",청년,2024-07-13,2024-11-30,부산광역시 동구 망양로 978,부산,동구,35.1415233073337,129.056048034228
858,아산시교향악단,꿈다락 문화예술학교_별이 빛나는 오케스트라,지하1층(정우빌딩),2025 생애주기별 문화예술교육 지원사업 꿈다락 문화예,음악,,2025-06-02,2025-11-27,충청남도 아산시 시민로 461,충남,아산시,36.7897564776768,127.001306800783
859,아산시교향악단,별이 빛나는 오케스트라,지하1층,꿈다락 문화예술학교,음악,"청년,중장년",2024-06-24,2024-11-14,충청남도 아산시 시민로 461,충남,아산시,36.7897564776768,127.001306800783
860,아트앤스페이스,나에게서만 들을 수 있는 이야기,풍림아이원플러스 B동 1026호,2024 꿈다락 문화예술학교,"미술,문학",중장년,2024-07-02,2024-09-23,경기도 성남시 분당구 서현로 170,경기,성남시 분당구,37.3889890630627,127.122531112568
861,아트컴퍼니나우,생애전환 문화예술학교 은빛제비,,꿈다락예술문화학교,연극/뮤지컬,"중장년,노년",,,"강북구 인수봉로 222-1, 경원빌딩 3층",서울,강북구,37.6393604280458,127.013250156432
862,예술마을사람들,도레미공작소,예술마을사람들 경산지부 2층,,음악,"아동,청소년",2023-05-29,2023-11-30,경상북도 경산시 중앙로 14-1,경북,경산시,35.8199602971535,128.72949178097
863,의정부문화재단,2025 꿈다락 문화예술교육 예술로 [ ] 좁히기,"2층 합창연습실, 무용연습실",2025 생애주기별 문화예술교육지원사업,음악,"청년,중장년",2025-06-26,2025-11-22,경기도 의정부시 의정로 1,경기,의정부시,37.733384596752,127.034129065882
864,이땅공감연구소,순환랩 왕송못 순환랩 3_지지배배,,꿈다락예술문화학교,미술,"청년,중장년,노년",,,경기도 의왕시 골우물길 49 의왕시중앙도서관,경기,의왕시,37.3422472192416,126.969513763653
865,이아예술컴퍼니,산성이 된 돌,계양산성박물관,꿈다락 문화예술학교,"문학,연극/뮤지컬","아동,노년",2024-07-13,2024-09-28,인천광역시 계양구 계양산로 101,인천,계양구,37.5480192706034,126.727031602671
866,인천중구문화원,모두작곡가 <내마음속의 콩나물>,중구문화회관 내 1층 중구문화원,2024 꿈다락 문화예술학교,음악,중장년,2024-08-19,2024-11-06,인천광역시 중구 축항대로296번길 81,인천,중구,37.4401753810532,126.629406966861
867,인천중구문화원,[인천중구문화원 청소년 큐레이터 교육프로그램],중구문화회관 내 1층,2024 인천 꿈다락 문화예술학교,미술,청소년,2024-07-06,2024-08-31,인천광역시 중구 축항대로296번길 81,인천,중구,37.4401753810532,126.629406966861
868,인천중구문화원,생애전환 문화예술학교 <끼니어가 간다>,중구문화회관 내 1층 중구문화원,2024 꿈다락 문화예술학교,연극/뮤지컬,중장년,2024-07-02,2024-10-26,인천광역시 중구 축항대로296번길 81,인천,중구,37.4401753810532,126.629406966861
869,창의력오감센터,엄마이름 찾기 프로젝트,4층 402호,생애주기 문화예술교육지원사업,"음악,연극/뮤지컬","청년,중장년",2024-04-06,2024-12-31,대전광역시 대덕구 동춘당로114번길 11-13,대전,대덕구,36.3671959321496,127.437909716159
870,창의력오감센터,행복 스위치 On,창의력오감센터  4층  402호,,"연극,음악",아동,2023-05-01,2023-11-30,대전광역시 대덕구 동춘당로114번길 11-13,대전,대덕구,36.3671959321496,127.437909716159
871,창의미술연구회,4060감성으로 그리는 일상풍경,드림톡톡어린이미술관,103 강원충청권 꿈다락문화예술학교,"사진,미술,융복합",중장년,2024-07-04,2024-10-24,충청북도 청주시 서원구 가장로353번길 177-10,충북,청주시 서원구,36.5857185919201,127.48106123529
872,창의미술연구회,"어르신, 예술하셨어요?",대청댐노인복지관,문화예술교육 배달 지원사업,"공예,미술,융복합",노년,2024-06-05,2024-09-11,충청북도 보은군 회인면 회인로 78,충북,보은군,36.4946027344518,127.597412341865
873,창의미술연구회,예술로 웃음꽃길,드림톡톡어린이미술관,꿈다락문화예술학교,"사진,미술,융복합","아동,청소년,중장년",2023-04-05,2023-11-04,충청북도 청주시 서원구 가장로353번길 177-10 드림톡톡어린이미술관,충북,청주시 서원구,36.5857185919201,127.48106123529
874,창의미술연구회,4060감성으로 그리는 일상풍경,드림톡톡어린이미술관(장암동),꿈다락예술문화학교,"사진,미술,융복합",중장년,2023-07-05,2023-11-09,충청북도 청주시 서원구 가장로353번길 177-10,충북,청주시 서원구,36.5857185919201,127.48106123529
875,플라멩코델서울,나의 카르멘을 찾아서,지하 1층 (문래동 4가) 스튜디오 루나,2024 생애주기별 문화예술교육 지원사업,"무용,미디어,융복합","청년,중장년",2024-10-08,2024-11-09,서울특별시 영등포구 도림로 483,서울,영등포구,37.5165248428867,126.889848500012
876,피어나주식회사,"마음치유, 봄처럼 [피어나리, 영통구치매안심센터]",영통구치매안심센터,"2025 문화로 치유 지원사업 「마음치유, 봄처럼」","음악,기타",노년,2025-09-01,2025-11-14,경기도 수원시 영통구 영통로 396,경기,수원시 영통구,37.2568828036311,127.069710816696
877,피어나주식회사,"마음치유, 봄처럼 [피어나리, 수원체육문화센터]",수원체육문화센터,"2025 문화로 치유 지원사업 「마음치유, 봄처럼」","음악,기타",노년,2025-05-07,2025-11-14,경기도 수원시 영통구 영통로 383,경기,수원시 영통구,37.2585694958662,127.067797240834
878,피어나주식회사,"마음치유, 봄처럼 [피어나리, 성동구치매안심센터]",성동구치매안심센터,"2025 문화로 치유 지원사업 「마음치유, 봄처럼」","음악,기타",노년,2025-05-12,2025-11-14,서울특별시 성동구 마장로23길 10,서울,성동구,37.5670800463862,127.033214300908
879,피어나주식회사,"마음치유, 봄처럼 [피어나리, 양천구치매안심센터]",양천구치매안심센터,"2025 문화로 치유 지원사업 「마음치유, 봄처럼」","음악,기타",노년,2025-06-13,2025-11-14,서울특별시 양천구 목동서로 339,서울,양천구,37.5177061613231,126.865739424322
880,함께걷는아이들,청소년 송캠프 함께 작곡하기,,꿈다락예술문화학교,음악,"아동,청소년",,,"안양시 동안구 경수대로 523, 한무리지역아동센터",경기,안양시 동안구,37.3693893567293,126.957581706387
881,함께걷는아이들,청소년 송캠프 함께 작곡하기,,꿈다락예술문화학교,음악,"아동,청소년",,,"서초구 서초대로 74길 23, 서초타운트라팰리스 (강남역 7번 출구)",서울,서초구,37.4956119342423,127.027090955824
882,화성시문화재단,2025 생활밀착형 문화예술교육 <가가호호>,화성시미디어센터,2025 생활밀착형 문화예술교육 <가가호호>,,,2025-06-07,2025-11-29,경기도 화성시 노작로 158,경기,화성시 동탄구,37.2027735461827,127.07419632049
883,공연예술창작소 호밀,드림 파인드! 나의 꿈을 발견해봐!,유성구학교밖지원센터,,"연극,기타",청소년,2023-05-26,2023-11-24,대전광역시 유성구 유성대로730번길 51 3층 장대청소년문화의집,대전,유성구,36.3581192980157,127.335412303909
884,교육문화연구소 이룸,마인크래프트 속 탐라순력도- 탐라크래프트,북스페이스 곰곰,꿈다락 문화예술학교,"전통,융복합","아동,청소년",2024-09-19,2024-11-30,제주특별자치도 제주시 우평로 45-1,제주특별자치도,제주시,33.4790596164521,126.461202252767
885,문화예술기획사 고리,두근두근! 신비한 소리나라 대탐험,"광주, 전남, 전북 지역 아동센터",,"국악,음악","아동,청소년",2023-05-26,2023-11-30,전라남도 보성군 보성읍 봉화로 119-1 2층,전남,보성군,34.7664729806048,127.085115612587
886,예술교육창작터 달집,가족이란 이름으로,노원평생학습관,꿈다락예술문화학교,"미술,융복합",,2024-07-21,2024-10-13,서울특별시 노원구 동일로204길 13,서울,노원구,37.6395138569616,127.067821262987
